id,name
1,Acciughe (alici)
2,Acciughe sott'olio
3,Aceto
4,Aceto di mele
5,Aceto di riso
6,Aceto di vino bianco
7,Aceto di vino rosso
8,Acqua
9,Acqua gassata
10,Aglio
11,Aglio in polvere
12,Albumi
13,Alloro
14,Amido di mais (maizena)
15,Amido di mais (maizena) senza glutine
16,Aneto
17,Arance
18,Asiago
19,Asparagi
20,Avocado
21,Baccello di vaniglia
22,Bacche di ginepro
23,Bacon
24,Basilico
25,Bicarbonato
26,Birra
27,Birra chiara
28,Brandy
29,Broccoli
30,Brodo di carne
31,Brodo vegetale
32,Bucatini
33,Burro
34,Burro salato
35,Caciocavallo
36,Calamari
37,Capperi
38,Capperi sott'aceto
39,Capperi sotto sale
40,Caprino
41,Carciofi
42,Carciofi mammole
43,Carne bovina
44,Carote
45,Cavoletti di Bruxelles
46,Cavolfiore
47,Cavolo cappuccio
48,Ceci precotti
49,Ceci secchi
50,Cetrioli
51,Cetriolini sottaceto
52,Chiodi di garofano
53,Chiodi di garofano macinati
54,Cicoria
55,Cicorino
56,Cipolle
57,Cipolle bianche
58,Cipolle borettane
59,Cipolle dorate
60,Cipolle ramate
61,Cipolle rosse
62,Cipolle rosse di Tropea
63,Cipollotto fresco
64,Concentrato di pomodoro
65,Coriandolo
66,Corn flakes
67,Cozze
68,Cracker
69,Cumino
70,Cumino in polvere
71,Curcuma in polvere
72,Edamer
73,Emmentaler
74,Erba cipollina
75,Fagioli cannellini precotti
76,Farina 0
77,Farina 00
78,Farina Manitoba
79,Farina di ceci
80,Farina di grano saraceno
81,Farina di mais
82,Farina di mais fioretto
83,Farina di mais giallo
84,Farina di mandorle
85,Farina di riso
86,Fecola di patate
87,Fegatini di pollo
88,Feta
89,Filetto di salmone
90,Finocchietto selvatico
91,Fiocchi di sale
92,Fiordilatte
93,Fiori di zucca
94,Fontina
95,Formaggio fresco spalmabile
96,Fragole
97,Friggitelli
98,Frutti di cappero
99,Funghi champignon
100,Funghi porcini
101,Funghi secchi
102,Gamberetti
103,Gamberi
104,Gelatina in fogli
105,Ghiaccio
106,Gorgonzola
107,Grana Padano DOP
108,Grappa
109,Groviera
110,Insalata riccia
111,Ketchup
112,Latte
113,Latte di soia
114,Latte intero
115,Lattuga iceberg
116,Lenticchie secche
117,Lievito di birra fresco
118,Lievito di birra secco
119,Lievito istantaneo per preparazioni salate
120,Lime
121,Limoni
122,Maggiorana
123,Maiale
124,Maionese
125,Malto
126,Malto d'orzo
127,Mandorle
128,Mandorle in scaglie
129,Manzo
130,Marsala
131,Mascarpone
132,Melanzane
133,Menta
134,Merluzzo
135,Miele
136,Miele di acacia
137,Miele millefiori
138,Mortadella
139,Mozzarella
140,Mozzarella di bufala
141,Nduja
142,Noce moscata
143,Olio di oliva
144,Olio di semi
145,Olio di semi di arachide
146,Olio di semi di girasole
147,Olio di semi di mais
148,Olio di sesamo
149,Olio extravergine d'oliva
150,Olive Ascolane tenere
151,Olive di Gaeta
152,Olive nere
153,Olive taggiasche
154,Olive verdi
155,Olive verdi in salamoia
156,Origano
157,Pancarrè
158,Pancetta
159,Pancetta affumicata
160,Pancetta arrotolata
161,Pane
162,Pane bianco in cassetta
163,Pane casereccio
164,Pane per tramezzini
165,Pane raffermo
166,Pane toscano
167,Pangrattato
168,Panna acida
169,Panna fresca liquida
170,Paprika
171,Paprika affumicata
172,Paprika dolce
173,Parmigiano Reggiano DOP
174,Passata di pomodoro
175,Pasta Sfoglia
176,Pasta brisé
177,Patate
178,Patate novelle
179,Patate rosse
180,Pecorino
181,Pecorino romano
182,Pepe
183,Pepe bianco
184,Pepe di Sichuan
185,Pepe nero
186,Pepe nero in grani
187,Pepe rosa in grani
188,Peperoncini Jalapeno
189,Peperoncino
190,Peperoncino fresco
191,Peperoni
192,Peperoni gialli
193,Peperoni rossi
194,Peperoni verdi
195,Pesto alla Genovese
196,Pesto di rucola
197,Petto di pollo
198,Pinoli
199,Piselli surgelati
200,Pisellini
201,Polenta istantanea
202,Pollo
